10.241.128.142 - - [29/Jul/2025:14:41:33 +0000] "GET /identity/v3/ HTTP/1.1" 200 505 "-" "curl/8.5.0"
10.241.128.142 - - [29/Jul/2025:14:41:38 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1434 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1429 "-" "python-keystoneclient"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity/v3/projects/f5c377ecfe7440e9969838e9c015cd7a HTTP/1.1" 200 594 "-" "python-keystoneclient"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1434 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 606 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.142 - - [29/Jul/2025:14:41:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
