10.241.128.103 - - [30/Jul/2025:11:17:00 +0000] "GET /identity/v3/ HTTP/1.1" 200 505 "-" "curl/8.5.0"
10.241.128.103 - - [30/Jul/2025:11:17:05 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:05 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1434 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:05 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1429 "-" "python-keystoneclient"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/projects/764774e0e2624b97a7809ff28e05e901 HTTP/1.1" 200 594 "-" "python-keystoneclient"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1434 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 606 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 593 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/users/53e634a6bbaf427bacca92394c41fbef HTTP/1.1" 200 497 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 449 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "PUT /identity/v3/domains/default/users/53e634a6bbaf427bacca92394c41fbef/roles/c5de4c1383dc4062988ea89304416831 HTTP/1.1" 204 201 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 562 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:06 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 593 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "GET /identity/v3/users/53e634a6bbaf427bacca92394c41fbef HTTP/1.1" 200 497 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 449 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "GET /identity/v3/role_assignments?role.id=c5de4c1383dc4062988ea89304416831&scope.domain.id=default&user.id=53e634a6bbaf427bacca92394c41fbef HTTP/1.1" 200 784 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "GET /identity HTTP/1.1" 300 581 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
10.241.128.103 - - [30/Jul/2025:11:17:07 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1298 "-" "openstacksdk/4.6.0 keystoneauth1/5.11.1 python-requests/2.32.4 CPython/3.12.3"
