Jul 30 02:15:44.464402 np0000031972 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 30 02:15:44.472399 np0000031972 memory_tracker.sh[44927]: [[[
Jul 30 02:15:44.473066 np0000031972 memory_tracker.sh[44942]: Wed Jul 30 02:15:44 UTC 2025
Jul 30 02:15:44.473201 np0000031972 memory_tracker.sh[44927]: ---
Jul 30 02:15:44.500426 np0000031972 memory_tracker.sh[44946]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Jul 30 02:15:44.500426 np0000031972 memory_tracker.sh[44946]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Jul 30 02:15:44.528334 np0000031972 memory_tracker.sh[44946]: [iscsid (pid:36182)]=14168KB; [multipathd (pid:368)]=288932KB; [ovs-vswitchd (pid:31821)]=901108KB
Jul 30 02:15:44.534279 np0000031972 memory_tracker.sh[44927]: ]]]
Jul 30 02:16:04.539045 np0000031972 memory_tracker.sh[44927]: [[[
Jul 30 02:16:04.539794 np0000031972 memory_tracker.sh[49373]: Wed Jul 30 02:16:04 UTC 2025
Jul 30 02:16:04.541265 np0000031972 memory_tracker.sh[44927]: ---
Jul 30 02:16:04.541265 np0000031972 memory_tracker.sh[44927]: memory_tracker low_point: 6270184
Jul 30 02:16:04.541265 np0000031972 memory_tracker.sh[44927]: ---
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: MemTotal:        8129476 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: MemFree:          201100 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: MemAvailable:    6269428 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Buffers:          182396 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Cached:          5733216 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SwapCached:            0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Active:          1273132 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Inactive:        5557552 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Active(anon):     963752 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Inactive(anon):   126036 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Active(file):     309380 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Inactive(file):  5431516 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Unevictable:      143576 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Mlocked:          142376 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SwapTotal:       8388604 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SwapFree:        8388080 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Zswap:               336 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Zswapped:             68 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Dirty:            136556 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Writeback:             4 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: AnonPages:       1058732 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Mapped:           180240 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Shmem:            154868 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: KReclaimable:     636976 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Slab:             759640 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SReclaimable:     636976 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SUnreclaim:       122664 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: KernelStack:        8284 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: PageTables:         9872 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: SecPageTables:         0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: NFS_Unstable:          0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Bounce:                0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: WritebackTmp:          0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: CommitLimit:    12453340 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Committed_AS:    2891588 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: VmallocTotal:   13743895347199 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: VmallocUsed:       28480 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: VmallocChunk:          0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Percpu:             4896 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: HardwareCorrupted:     0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: AnonHugePages:         0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: ShmemHugePages:        0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: ShmemPmdMapped:        0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: FileHugePages:         0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: FilePmdMapped:         0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Unaccepted:            0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: HugePages_Total:       0
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: HugePages_Free:        0
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: HugePages_Rsvd:        0
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: HugePages_Surp:        0
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Hugepagesize:       2048 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: Hugetlb:               0 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: DirectMap4k:      257900 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: DirectMap2M:     8130560 kB
Jul 30 02:16:04.541949 np0000031972 memory_tracker.sh[49378]: DirectMap1G:     2097152 kB
Jul 30 02:16:04.543383 np0000031972 memory_tracker.sh[44927]: ---
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      44286    5.0          414216          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      47339    1.6          135048      47337   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      47338    1.6          133544      47337   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      18081    1.6          133464          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      31821    1.4          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      43544    1.2           99228          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      11517    0.4           40076      11515   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:        368    0.3           27008          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 30 02:16:04.553179 np0000031972 memory_tracker.sh[49381]:      40444    0.3           25728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:       3109    0.3           25148       3108   00:00:00        2 do_wait                   /usr/bin/python3
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      46062    0.2           23936          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000031972 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000031972=http://192.168.1.122:2380 --initial-advertise-peer-urls http://192.168.1.122:2380 --advertise-client-urls http://192.168.1.122:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.122:2379 --log-level=debug
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      15531    0.2           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:       2010    0.2           19876          1   00:01:17        2 inet_csk_accept           /usr/bin/python3
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      47337    0.2           19328          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      17052    0.2           19072          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      34245    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      40481    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      47663    0.1           14696      47657   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      36182    0.1           13900          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:          1    0.1           13464          0   00:00:14        1 ep_poll                   /sbin/init nofb
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:      11515    0.1           13056          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 02:16:04.553490 np0000031972 memory_tracker.sh[49381]:        411    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:       5319    0.1           12288       3112   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-30-020229
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:       5324    0.1           12288       3112   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-30-020229.summary.2025-07-30-020229
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:      47740    0.1           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:      47661    0.1           12008      47657   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:      49156    0.1           11648      49109   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user e58d84a71c1348af9070870e00327a36 --project c2cfbacddeaa4801bc0baafd00b3c9f2
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:      49253    0.1           11520      49205   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user adbfca981d14415db1f3d7aa994edc48 --project c2cfbacddeaa4801bc0baafd00b3c9f2
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:      49349    0.1           11520      49301   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add anotherrole --user e58d84a71c1348af9070870e00327a36 --project c2cfbacddeaa4801bc0baafd00b3c9f2
Jul 30 02:16:04.553676 np0000031972 memory_tracker.sh[49381]:       1866    0.1           11264          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
