Jul 29 16:51:24.123905 np0000031960 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 29 16:51:24.131935 np0000031960 memory_tracker.sh[47805]: [[[
Jul 29 16:51:24.132696 np0000031960 memory_tracker.sh[47819]: Tue Jul 29 16:51:24 UTC 2025
Jul 29 16:51:24.132817 np0000031960 memory_tracker.sh[47805]: ---
Jul 29 16:51:24.160235 np0000031960 memory_tracker.sh[47823]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Jul 29 16:51:24.160235 np0000031960 memory_tracker.sh[47823]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Jul 29 16:51:24.188912 np0000031960 memory_tracker.sh[47823]: [iscsid (pid:39010)]=14168KB; [multipathd (pid:370)]=420096KB; [ovs-vswitchd (pid:34751)]=901104KB
Jul 29 16:51:24.194997 np0000031960 memory_tracker.sh[47805]: ]]]
Jul 29 16:51:44.200001 np0000031960 memory_tracker.sh[47805]: [[[
Jul 29 16:51:44.200821 np0000031960 memory_tracker.sh[52427]: Tue Jul 29 16:51:44 UTC 2025
Jul 29 16:51:44.201111 np0000031960 memory_tracker.sh[47805]: ---
Jul 29 16:51:44.201111 np0000031960 memory_tracker.sh[47805]: memory_tracker low_point: 6195880
Jul 29 16:51:44.201111 np0000031960 memory_tracker.sh[47805]: ---
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: MemTotal:        8129476 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: MemFree:          232868 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: MemAvailable:    6195880 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Buffers:          210400 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Cached:          5598124 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SwapCached:            0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Active:          1446508 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Inactive:        5294256 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Active(anon):    1105952 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Inactive(anon):     1104 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Active(file):     340556 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Inactive(file):  5293152 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Unevictable:      144732 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Mlocked:          143532 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SwapTotal:       8388604 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SwapFree:        8388080 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Zswap:               336 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Zswapped:             68 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Dirty:            133812 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Writeback:             0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: AnonPages:       1077104 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Mapped:           180088 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Shmem:            154952 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: KReclaimable:     639032 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Slab:             773132 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SReclaimable:     639032 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SUnreclaim:       134100 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: KernelStack:        8784 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: PageTables:        10396 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: SecPageTables:         0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: NFS_Unstable:          0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Bounce:                0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: WritebackTmp:          0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: CommitLimit:    12453340 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Committed_AS:    2945884 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: VmallocTotal:   13743895347199 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: VmallocUsed:       33468 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: VmallocChunk:          0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Percpu:             5056 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: HardwareCorrupted:     0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: AnonHugePages:         0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: ShmemHugePages:        0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: ShmemPmdMapped:        0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: FileHugePages:         0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: FilePmdMapped:         0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Unaccepted:            0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: HugePages_Total:       0
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: HugePages_Free:        0
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: HugePages_Rsvd:        0
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: HugePages_Surp:        0
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Hugepagesize:       2048 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: Hugetlb:               0 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: DirectMap4k:      288620 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: DirectMap2M:     7051264 kB
Jul 29 16:51:44.201658 np0000031960 memory_tracker.sh[52428]: DirectMap1G:     3145728 kB
Jul 29 16:51:44.202420 np0000031960 memory_tracker.sh[47805]: ---
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      47120    5.1          415928          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      20980    1.6          135816          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      50223    1.6          135292      50222   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      50224    1.6          134000      50222   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      34751    1.4          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      46392    1.2           99236          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      14355    0.4           40148      14353   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:        370    0.3           28032          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 29 16:51:44.217222 np0000031960 memory_tracker.sh[52430]:      43271    0.3           26112          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:       5901    0.3           25260       5900   00:00:00        2 do_wait                   /usr/bin/python3
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      48905    0.2           24192          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000031960 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000031960=http://10.241.128.121:2380 --initial-advertise-peer-urls http://10.241.128.121:2380 --advertise-client-urls http://10.241.128.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.121:2379 --log-level=debug
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:       5648    0.2           20608          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:       4700    0.2           19572          1   00:01:19        2 inet_csk_accept           /usr/bin/python3
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      50222    0.2           19200          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      19888    0.2           18944          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      43306    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      37089    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      50550    0.1           14876      50544   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      39010    0.1           13900          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:      50548    0.1           13724      50544   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:          1    0.1           13332          0   00:00:12        1 ep_poll                   /sbin/init nofb
Jul 29 16:51:44.217620 np0000031960 memory_tracker.sh[52430]:        452    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:      14353    0.1           12800          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:       8111    0.1           12288       5904   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-29-164228
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:       8116    0.1           12288       5904   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-29-164228.summary.2025-07-29-164228
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:      50627    0.1           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:       4535    0.1           11520          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:      52336    0.1           11520      52289   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user 918170aa4703424fab1c2227a0b5003d --project c5606aab84674e988a0a30407c85c0c1
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:      52369    0.1           11520      52352   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo_reader --password secretadmin --domain=default --email=demo_reader@example.com --or-show -f value -c id
Jul 29 16:51:44.217832 np0000031960 memory_tracker.sh[52430]:      52387    0.1           11520      52370   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role member --user 918170aa4703424fab1c2227a0b5003d --project f3cf8740fba94b3691673d06f19c3262 -c Role -f value
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52405    0.1           11520      52388   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user f0ada7efb07c4f64bfa949d00d2b8352 --project f3cf8740fba94b3691673d06f19c3262 -c Role -f value
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52423    0.1           11520      52406   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role anotherrole --user 918170aa4703424fab1c2227a0b5003d --project f3cf8740fba94b3691673d06f19c3262 -c Role -f value
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:       5904    0.1           10880       5902   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52352    0.1            9672      52343   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52343    0.1            9544       5904   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:       1292    0.1            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      50544    0.1            9468          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52001    0.1            9284       5904   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52097    0.1            9284       5904   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52193    0.1            9284       5904   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52289    0.1            9284       5904   00:00:00        1 do_wait                   bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      45535    0.1            9272       5904   00:00:00        1 do_wait                   bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52370    0.1            9028      52001   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.217955 np0000031960 memory_tracker.sh[52430]:      52388    0.1            9028      52097   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:      52406    0.1            9028      52193   00:00:00        1 pipe_read                 bash ./stack.sh
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:       1057    0.1            8960          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:      35287    0.1            8704          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:      35360    0.1            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:       1307    0.0            8064          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:      35097    0.0            7948          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Jul 29 16:51:44.218129 np0000031960 memory_tracker.sh[52430]:        454    0.0            7936          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:       1790    0.0            7936          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:      36861    0.0            7936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:        390    0.0            7424          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:      35481    0.0            7308          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:      34697    0.0            7292          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Jul 29 16:51:44.218267 np0000031960 memory_tracker.sh[52430]:       5865    0.0            6988       5855   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
