Jul 30 13:45:34.459885 np0000031751 systemd[1]: Started Devstack devstack@memory_tracker.service.
Jul 30 13:45:34.467045 np0000031751 memory_tracker.sh[50676]: [[[
Jul 30 13:45:34.467657 np0000031751 memory_tracker.sh[50690]: Wed Jul 30 13:45:34 UTC 2025
Jul 30 13:45:34.467736 np0000031751 memory_tracker.sh[50676]: ---
Jul 30 13:45:34.513285 np0000031751 memory_tracker.sh[50694]: [iscsid (pid:42094)]=13400KB; [multipathd (pid:341)]=289296KB; [ovs-vswitchd (pid:37887)]=899428KB
Jul 30 13:45:34.518569 np0000031751 memory_tracker.sh[50676]: ]]]
Jul 30 13:45:54.523046 np0000031751 memory_tracker.sh[50676]: [[[
Jul 30 13:45:54.523685 np0000031751 memory_tracker.sh[55431]: Wed Jul 30 13:45:54 UTC 2025
Jul 30 13:45:54.523870 np0000031751 memory_tracker.sh[50676]: ---
Jul 30 13:45:54.523870 np0000031751 memory_tracker.sh[50676]: memory_tracker low_point: 6278680
Jul 30 13:45:54.523870 np0000031751 memory_tracker.sh[50676]: ---
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: MemTotal:        8125780 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: MemFree:          194832 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: MemAvailable:    6278428 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Buffers:          254300 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Cached:          5730988 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: SwapCached:           24 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Active:           823180 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Inactive:        6116948 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Active(anon):       2088 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Inactive(anon):  1124316 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Active(file):     821092 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Inactive(file):  4992632 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Unevictable:      141892 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Mlocked:          141892 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: SwapTotal:       8388604 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: SwapFree:        8385252 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Dirty:              6308 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Writeback:             0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: AnonPages:       1096872 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Mapped:           178512 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Shmem:            153676 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: KReclaimable:     579156 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Slab:             679252 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: SReclaimable:     579156 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: SUnreclaim:       100096 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: KernelStack:        7840 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: PageTables:         9556 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: NFS_Unstable:          0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Bounce:                0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: WritebackTmp:          0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: CommitLimit:    12451492 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Committed_AS:    2922544 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: VmallocTotal:   13743895347199 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: VmallocUsed:       22464 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: VmallocChunk:          0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Percpu:             4480 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: HardwareCorrupted:     0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: AnonHugePages:         0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: ShmemHugePages:        0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: ShmemPmdMapped:        0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: FileHugePages:         0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: FilePmdMapped:         0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: HugePages_Total:       0
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: HugePages_Free:        0
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: HugePages_Rsvd:        0
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: HugePages_Surp:        0
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Hugepagesize:       2048 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: Hugetlb:               0 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: DirectMap4k:      268140 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: DirectMap2M:     7071744 kB
Jul 30 13:45:54.524377 np0000031751 memory_tracker.sh[55432]: DirectMap1G:     3145728 kB
Jul 30 13:45:54.525445 np0000031751 memory_tracker.sh[50676]: ---
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      50113    5.0          414152          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      53093    1.6          131384      53091   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      53092    1.5          129788      53091   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      24412    1.5          125376          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      37887    1.3          112820          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      49375    1.0           85944          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      14507    0.5           47888          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:      14509    0.4           38832      14507   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:        341    0.3           26840          1   00:00:31        7 futex_wait_queue_me       /sbin/multipathd -d -s
Jul 30 13:45:54.532278 np0000031751 memory_tracker.sh[55434]:       6510    0.2           24116       6509   00:00:00        2 do_wait                   /usr/bin/python3
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      46362    0.2           23828          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      51649    0.2           22096          1   00:00:00       13 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000031751 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000031751=http://192.168.1.129:2380 --initial-advertise-peer-urls http://192.168.1.129:2380 --advertise-client-urls http://192.168.1.129:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.129:2379 --log-level=debug
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      23526    0.2           20940          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:        955    0.2           20024          1   00:00:02        3 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:        486    0.2           18560          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:       5478    0.2           17888          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      53091    0.2           16920          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:        581    0.1           15564          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      46393    0.1           14096          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:        573    0.1           13416          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      42094    0.1           13096          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:          1    0.1           12948          0   00:00:15        1 ep_poll                   /sbin/init nofb
Jul 30 13:45:54.532793 np0000031751 memory_tracker.sh[55434]:      53485    0.1           11512          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Jul 30 13:45:54.533861 np0000031751 memory_tracker.sh[55434]:       6513    0.1           11352       6511   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 30 13:45:54.533861 np0000031751 memory_tracker.sh[55434]:       8685    0.1           11156       8677   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-30-134109
Jul 30 13:45:54.533861 np0000031751 memory_tracker.sh[55434]:       8690    0.1           11080       8682   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-30-134109.summary.2025-07-30-134109
Jul 30 13:45:54.533861 np0000031751 memory_tracker.sh[55434]:      53408    0.1           10136      53403   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 13:45:54.533861 np0000031751 memory_tracker.sh[55434]:      53409    0.1           10096      53403   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
